city,price,reply time,guest favourite,host since,host Certification,room_type,host total listings count,consumer,total reviewers number,accommodates,bathrooms,bedrooms,beds,listing number,host response rate,host acceptance rate,sales,area
1,108,1.0,1,4433,1.0,2,1,0.5006781091186886,120,2,-0.48496418734974894,1,1,1,0.44105535025487397,0.437432212009259,14,1
1,90,0.0,0,5015,1.0,2,11,0.28667785239267685,22,1,-0.48496418734974894,1,1,11,0.44105535025487397,-0.30810870877909247,172,1
1,60,1.0,0,4902,1.0,2,8,0.4967871953600339,4,1,-0.48496418734974894,1,1,11,0.44105535025487397,0.5346766799381745,23,1
1,163,0.0,0,5015,1.0,3,11,0.40729617891097425,59,3,-0.48496418734974894,1,1,11,0.44105535025487397,-0.30810870877909247,104,1
1,60,0.0,0,4427,1.0,2,1,0.5473690742225458,829,2,-0.48496418734974894,1,1,4,-2.5850174322876724,-2.6095611164300907,364,1
1,115,0.0,0,4439,1.0,3,1,0.5395872467052364,21,2,-0.48496418734974894,1,1,1,-2.5850174322876724,-2.6095611164300907,7,1
1,50,1.0,1,4902,1.0,2,8,0.4967871953600339,23,1,-1.2469440998831112,1,1,11,0.44105535025487397,0.5346766799381745,206,1
1,80,1.0,0,4902,1.0,3,8,0.3995143513936649,9,1,-0.48496418734974894,1,1,11,0.44105535025487397,0.5346766799381745,175,1
1,50,1.0,0,4902,1.0,2,8,0.36449612756577215,17,1,-1.2469440998831112,1,1,11,0.44105535025487397,0.5346766799381745,112,1
1,50,1.0,1,4902,1.0,2,8,0.4423144027388674,24,1,-1.2469440998831112,1,1,11,0.44105535025487397,0.5346766799381745,226,1
1,90,0.0,0,5015,1.0,2,11,0.4384234889802124,5,2,-0.48496418734974894,1,1,11,0.44105535025487397,-0.30810870877909247,173,1
1,50,1.0,1,4902,1.0,2,8,0.5940600393264029,4,1,-0.48496418734974894,1,0,11,0.44105535025487397,0.5346766799381745,115,1
1,309,1.0,1,4765,1.0,3,1,0.5668236430158194,154,5,1.0389956377169756,3,3,1,0.44105535025487397,0.24294327615142836,333,1
1,30,1.0,0,4441,1.0,2,5,0.36060521380711746,43,1,0.2770157251836133,1,1,5,0.44105535025487397,0.17811363086548468,261,1
1,200,1.0,1,5034,1.0,3,4,0.5084599366359983,84,2,-0.48496418734974894,1,1,4,0.44105535025487397,0.6319211478670901,143,1
1,62,1.0,0,4409,1.0,2,1,0.3878416101177005,125,2,-0.48496418734974894,1,0,1,0.44105535025487397,0.6319211478670901,72,1
1,69,0.0,0,4834,1.0,3,18,0.46176897153214114,47,2,-0.48496418734974894,1,1,19,0.44105535025487397,-0.21086424085017696,145,1
1,279,1.0,1,4717,1.0,3,1,0.527914505429272,63,4,-0.48496418734974894,2,2,5,0.44105535025487397,0.5022618572952027,53,1
1,55,0.0,0,4379,1.0,2,1,0.42285983394559334,34,2,-0.48496418734974894,1,1,1,-2.5850174322876724,-2.6095611164300907,277,1
1,279,1.0,1,4628,1.0,3,3,0.5006781091186886,72,2,-0.48496418734974894,1,1,3,0.44105535025487397,0.6319211478670901,217,1
1,92,1.0,1,4647,1.0,3,1,0.5434781604638911,53,2,-0.48496418734974894,1,1,1,0.44105535025487397,0.437432212009259,84,1
1,115,0.0,0,4373,1.0,3,1,0.5240235916706174,100,2,-0.48496418734974894,1,1,1,-2.5850174322876724,0.6319211478670901,192,1
1,106,0.0,0,4594,1.0,3,1,0.4967871953600339,115,2,-0.48496418734974894,0,1,2,-2.5850174322876724,-2.6095611164300907,275,1
1,300,0.0,0,4633,1.0,3,1,0.4773326265667602,22,4,1.0389956377169756,2,2,2,-0.31546284538076264,-0.048790127635317794,31,1
1,100,1.0,1,4755,1.0,3,2,0.512350850394653,182,2,-0.48496418734974894,0,0,8,0.44105535025487397,0.30777292143737206,292,1
1,300,0.0,0,4349,1.0,3,1,0.527914505429272,78,5,-0.48496418734974894,3,3,2,0.44105535025487397,-2.6095611164300907,244,1
1,80,1.0,1,4611,1.0,2,2,0.46176897153214114,38,2,-0.48496418734974894,1,1,2,0.44105535025487397,0.6319211478670901,193,1
1,108,0.0,0,4344,1.0,3,1,0.138823129563796,6,2,-0.48496418734974894,1,1,1,0.44105535025487397,-2.6095611164300907,186,1
1,399,0.0,0,4470,1.0,3,1,0.5240235916706174,73,3,-0.48496418734974894,1,1,1,0.44105535025487397,-0.11361977292126146,183,1
1,295,0.0,0,4343,1.0,3,1,0.35671430004846244,18,7,1.0389956377169756,4,5,2,0.44105535025487397,-2.6095611164300907,140,1
1,97,0.0,0,4343,1.0,2,1,0.46176897153214114,113,2,-0.48496418734974894,1,1,1,-2.5850174322876724,-2.6095611164300907,0,1
1,234,1.0,1,4633,1.0,3,1,0.5084599366359983,178,3,-0.48496418734974894,1,2,1,0.44105535025487397,0.14569880822251285,271,1
1,200,0.0,0,4600,1.0,3,1,0.5162417641533077,5,2,-0.48496418734974894,1,2,1,0.44105535025487397,-2.6095611164300907,239,1
1,90,1.0,0,4854,1.0,3,1,0.47344171280810554,36,2,-0.48496418734974894,1,1,1,0.44105535025487397,0.6319211478670901,203,1
1,44,0.0,0,4580,1.0,2,2,0.4034052651523196,45,1,-0.48496418734974894,1,0,2,-0.16415920625363514,0.5346766799381745,268,1
